Original Size,Encoded Size,Entropy,Avg Code Len
411488,223907,4.31748,4.35312
388424,211609,4.32188,4.35831
447304,240634,4.27216,4.30372
464528,251312,4.29343,4.32804
460632,249894,4.3065,4.34002
343840,184387,4.25885,4.29007
322736,176519,4.33875,4.37556
363992,196189,4.27829,4.31194
357904,192419,4.2653,4.30102
349840,189454,4.29808,4.33236
337824,180769,4.25054,4.28079
433416,235929,4.32231,4.35478
322024,174832,4.30496,4.34333
339984,183862,4.29248,4.32637
598408,323550,4.29188,4.32548
341328,183439,4.26846,4.29942
427016,230399,4.28527,4.31645
384648,208418,4.30002,4.33473
323800,174519,4.27686,4.31177
458520,248253,4.29694,4.33138
414240,223911,4.28996,4.32428
424504,229796,4.29507,4.33063
333520,180300,4.28958,4.32478
388136,211325,4.32057,4.35569
548080,298299,4.31612,4.35409
467144,254145,4.30863,4.35232
394280,213515,4.2981,4.33225
371792,201801,4.30619,4.34223
310504,168738,4.30671,4.34746
442096,240092,4.30819,4.34461
350856,191540,4.33038,4.36738
288064,158357,4.35623,4.39783
294648,160916,4.33042,4.36904
450072,243093,4.29164,4.32096
363064,196339,4.29063,4.32627
519880,283299,4.31861,4.35945
371552,201865,4.30486,4.34642
482592,259939,4.26992,4.30905
277936,152616,4.3517,4.39284
460056,250166,4.31507,4.35018
370168,201768,4.32177,4.36057
291832,159586,4.33823,4.37474
343856,186331,4.29945,4.33509
276376,152939,4.37578,4.42698
347448,188265,4.29923,4.33481
267456,146289,4.33497,4.37572
294904,161012,4.32717,4.36785
287528,156901,4.32326,4.36552
453824,245604,4.29056,4.3295
210144,113705,4.29409,4.32865
431744,233753,4.29893,4.33133
370792,202047,4.32422,4.35925
464552,250270,4.27601,4.30987
391704,211658,4.29174,4.32282
