Original Size,Encoded Size,Entropy,Avg Code Len
411488,223720,4.31748,4.34948
388424,211296,4.32188,4.35186
447304,240432,4.27216,4.30011
464528,251052,4.29343,4.32356
460632,249695,4.3065,4.33656
343840,184254,4.25885,4.28697
322736,176174,4.33875,4.36701
363992,195837,4.27829,4.3042
357904,192138,4.2653,4.29474
349840,189294,4.29808,4.3287
337824,180652,4.25054,4.27801
433416,235636,4.32231,4.34937
322024,174654,4.30496,4.33891
339984,183733,4.29248,4.32333
598408,323418,4.29188,4.32371
341328,183331,4.26846,4.29689
427016,230321,4.28527,4.31499
384648,208224,4.30002,4.33069
323800,174360,4.27686,4.30784
458520,248029,4.29694,4.32747
414240,223706,4.28996,4.32032
424504,229551,4.29507,4.32601
333520,180149,4.28958,4.32116
388136,211008,4.32057,4.34916
548080,297843,4.31612,4.34744
467144,253677,4.30863,4.3443
394280,213363,4.2981,4.32917
371792,201607,4.30619,4.33806
310504,168328,4.30671,4.3369
442096,239785,4.30819,4.33906
350856,191257,4.33038,4.36092
288064,157784,4.35623,4.38192
294648,160470,4.33042,4.35693
450072,242971,4.29164,4.31879
363064,196121,4.29063,4.32146
519880,282755,4.31861,4.35108
371552,201361,4.30486,4.33557
482592,259587,4.26992,4.30321
277936,152182,4.3517,4.38035
460056,249902,4.31507,4.34559
370168,201472,4.32177,4.35417
291832,159243,4.33823,4.36533
343856,186164,4.29945,4.33121
276376,152001,4.37578,4.39983
347448,188044,4.29923,4.32972
267456,145968,4.33497,4.36612
294904,160723,4.32717,4.36001
287528,156553,4.32326,4.35583
453824,245232,4.29056,4.32294
210144,113570,4.29409,4.32351
431744,233566,4.29893,4.32786
370792,201918,4.32422,4.35647
464552,250151,4.27601,4.30782
391704,211495,4.29174,4.31949
