Original Size,Encoded Size,Entropy,Avg Code Len
411488,227429,4.31748,4.42159
388424,215194,4.32188,4.43215
447304,244484,4.27216,4.37258
464528,255218,4.29343,4.39531
460632,253970,4.30650,4.41081
343840,187118,4.25885,4.35361
322736,179585,4.33875,4.45156
363992,198656,4.27829,4.36616
357904,194363,4.26530,4.34447
349840,192229,4.29808,4.39582
337824,183497,4.25054,4.34539
433416,239999,4.32231,4.42991
322024,177480,4.30496,4.40911
339984,186947,4.29248,4.39896
598408,328565,4.29188,4.39252
341328,186258,4.26846,4.36549
427016,234406,4.28527,4.39152
384648,211670,4.30002,4.40236
323800,177330,4.27686,4.38122
458520,252190,4.29694,4.40007
414240,227816,4.28996,4.39969
424504,232427,4.29507,4.38021
333520,182913,4.28958,4.38746
388136,215042,4.32057,4.43230
548080,302974,4.31612,4.42233
467144,257641,4.30863,4.41219
394280,216988,4.29810,4.40272
371792,205274,4.30619,4.41696
310504,171174,4.30671,4.41022
442096,244070,4.30819,4.41660
350856,194970,4.33038,4.44558
288064,160921,4.35623,4.46903
294648,163625,4.33042,4.44259
450072,247488,4.29164,4.39908
363064,199687,4.29063,4.40004
519880,287334,4.31861,4.42154
371552,204873,4.30486,4.41118
482592,263280,4.26992,4.36443
277936,154760,4.35170,4.45455
460056,254317,4.31507,4.42237
370168,205042,4.32177,4.43133
291832,162412,4.33823,4.45221
343856,189267,4.29945,4.40340
276376,154992,4.37578,4.48641
347448,191033,4.29923,4.39854
267456,148613,4.33497,4.44523
294904,163501,4.32717,4.43537
287528,159268,4.32326,4.43137
453824,249162,4.29056,4.39222
210144,115689,4.29409,4.40418
431744,237599,4.29893,4.40259
370792,205221,4.32422,4.42773
464552,253071,4.27601,4.35811
391704,215980,4.29174,4.41109
